LSMS,MICS,IPUMS,DHS2
Status in employment ,,Fertility Preferences,
Type of employer ,,Man's Preference to having more children,
Main reason for not receiving payment for work ,,Other Health Issues,
"Standard module, Part C: Main and Secondary Job in the Last 7 Days ",,Personnel performing circumcision,
Mode of transportation to work,,Place of circumcision,
Before/After,,BIOMARKER,
Main method to determine pay,,Reason for not taking measurement,
Main reason for not working in the job ,,Measurement position taken,
"Expanded module, Part C: Main and Secondary Job in the Last 7 Days ",,FIELDWORKER,
Main reason for losing the job,,Permanent/Temporary,
Type of work of owner ,,,
Employed and paid directly by firm,,,
Time expected the work to last,,,
Place obtained skills,,,
Type of employer ,,,
Still learning to do the work well ,,,
"Expanded module, Part E: Overview of Work Five Years Ago ",,,
Most important activity 5 years ago,,,
Anthropometry ,,,
Reason child was not measured,,,
Height measured lying down or standing up ,,,
Housing,,,
PART A.  DESCRIPTION OF THE DWELLING,,,
Residence,,,
Material of the external walls,,,
Material of the roof,,,
Material of the floor,,,
Type of dwelling,,,
PART B. HOUSING SERVICES,,,
Main source of drinking water ,,,
Type of water treatment,,,
Main source of bathing/washing water ,,,
Placing of bathing,,,
Type of toilet facility,,,
Type of toilet disposal system,,,
Toilet facility shared,,,
Source of lighting,,,
Type of electric meter,,,
Cooking fuel,,,
Heating fuel,,,
Main Source of hot water,,,
Location ,,,
Location of nearest telephone,,,
Disposal of Garbage,,,
PART C: DWELLING EXPENDITURES,,,
How dwelling was obtained,,,
Type of legal title to the dwelling,,,
Time unit,,,
From whom do you rent this dwelling,,,
Rent inclusion,,,
Monthly payments,,,
Non-household member pay (part of) rent,,,
Who pay(part of) rent,,,
Part E: Planned Moves and Upgrades,,,
Plan to move within 12 months,,,
Motivation to move to new dwelling,,,
Plan to buy or rent,,,
Consumption,,,
Part A: Daily Consumption,,,
Consumed item,,,
Part B: Food Consumption,,,
Food Consumed,,,
Quantity ,,,
Part C: Non Food Consumption,,,
Non food Consumed,,,
Part D: Remittances,,,
Relationship to person,,,
Kind of place recepient lives in,,,
Main Reason for Assistance,,,
Part E: Durables,,,
Durable items,,,
Purchased/Gift,,,
Credit,,,
Part B: Details of Credit,,,
Agricultural reason for obtaining loan,,,
Non-Agricultural reason for obtaining loan,,,
 Personal Use reason for obtaining loan,,,
Source of the loan,,,
Training provided,,,
Time unit,,,
Quantity unit,,,
Harvest value calculated,,,
Collateral,,,
Frequency,,,
Frequency of payment,,,
Part C: Credit History ,,,
Reson for credit being refused,,,
Reason for notattempting to borrow money,,,
Relationship to Borrower,,,
Main reason borrower borrowed money,,,
Form of loan repayment,,,
Environment,,,
Module 1: Environmental Priorities (Urban) ,,,
Urban/Rural,,,
Urban Environmental problem,,,
Module 2: Environmental Priorities (Rural),,,
Rural Environmental problem,,,
Module 3: Environmental Attitudes and Perceptions - Urban Air Quality,,,
Air quality,,,
Source of pollution,,,
Personal cotribution to air pollution,,,
Consequences of air pollution,,,
Contribution of air pollution to illness,,,
Stength of linkage between air quality and human health,,,
Importance of air quality improvement,,,
Effect of air quality impovemet program on job,,,
Commitment,,,
Knowledge about air pollution compared to others,,,
Module 4: Water,,,
Source of water,,,
Quality,,,
Water payment,,,
Method to collect water,,,
Source of water by neighbours,,,
Source of water for vendors,,,
Water quantity,,,
Water charges,,,
Complaints on piped water system,,,
Method to collect water from well,,,
Tye of rainwater collection system used,,,
Module 5: Household Sanitation - Attitudes and Practices,,,
Quality,,,
Place where toilet waste is discharged,,,
Method used to empty septic tank,,,
Satisfaction,,,
Quality,,,
Place members go to relieve themselves,,,
Module 6A: Fuel Sources and Uses,,,
Souce of fuel,,,
Primary/Secondary,,,
Module 6B: Detail on Fuel by Source,,,
Fuel purpose,,,
Members who collects fuel source,,,
Proportions,,,
Source of dung,,,
Module 7: Households’ Willingness to Pay for Improved Water Service - An Example of a Contingent Valuation Scenario (Urban) ,,,
Vote for the new water supply project ,,,
Would want to be connected to the new water supply system ,,,
Module 8: Households’ Willingness to Pay for Improved Water Service - An Example of a Contingent Valuation Scenario (Rural - Public Taps Only),,,
Would pay monthly fee and use public taps,,,
Would buy water from public taps,,,
Preferred payment system for public taps ,,,
Module 9: Households’ Willingness to Pay for Improved Sanitation - An Example of a Contingent Valuation Scenario for Sewer Connection (Urban),,,
Familiarity,,,
Reason for not willing to pay ,,,
Main reason for agreeing to pay ,,,
Item would reduce expenditure to afford monthly fee,,,
Module 10: Households’ Willingness to Pay for Improved Urban Air Quality - An Example of a Contingent Valuation Scenario ,,,
Would vote for air pollution clean-up plan ,,,
Certainity,,,
Fertility,,,
Part A: Maternity History,,,
Sex of child,,,
Single/Multiple,,,
Want the child ,,,
Desire for more children,,,
Part B: Reproductive Health,,,
Assitance at delivery,,,
Place of delivery,,,
Part C: Contraceptive Use,,,
Contraception method,,,
Place first heard of,,,
Reason for not using,,,
Place obtained,,,
Migration,,,
Short Module (Migration),,,
Reason for moving here ,,,
Facilities affected decision to move her,,,
Person who already lived here,,,
Person(s) lived with when first moved here ,,,
Reason for not working in the last month lived in previous place of residence ,,,
Main means of support before finding the first work,,,
Method used to find the first wage work ,,,
Yes/No/Blank,,,
Filter for been living here for more than 5 years ,,,
Relationship to person living in the same dwelling,,,
Main activity,,,
Lives in Country/ Lives abroad,,,
Major field of study in post secondary education ,,,
Type of school,,,
Contributor to pay fees,,,
